iter	Passed	Remaining
175	1303	1658
176	1311	1652
177	1322	1649
178	1330	1643
179	1341	1639
180	1347	1630
181	1359	1628
182	1369	1623
183	1378	1618
184	1388	1613
185	1394	1604
186	1402	1597
187	1411	1591
188	1419	1585
189	1427	1577
190	1436	1571
191	1443	1563
192	1450	1555
193	1456	1546
194	1467	1542
195	1477	1537
196	1486	1531
197	1497	1527
198	1502	1517
199	1507	1507
200	1517	1502
201	1524	1494
202	1532	1486
203	1540	1479
204	1552	1477
205	1559	1468
206	1566	1460
207	1571	1450
208	1586	1449
209	1594	1442
210	1602	1435
211	1608	1426
212	1614	1417
213	1620	1408
214	1625	1398
215	1631	1389
216	1637	1380
217	1644	1372
218	1649	1363
219	1655	1354
220	1662	1346
221	1671	1339
222	1677	1331
223	1684	1323
224	1689	1314
225	1697	1306
226	1705	1299
227	1711	1291
228	1719	1283
229	1724	1274
230	1732	1267
231	1738	1259
232	1746	1251
233	1754	1244
234	1763	1238
235	1771	1230
236	1778	1223
237	1785	1215
238	1791	1206
239	1799	1199
240	1808	1193
241	1817	1186
242	1823	1178
243	1834	1172
244	1843	1166
245	1852	1159
246	1862	1153
247	1869	1146
248	1879	1139
249	1888	1133
250	1896	1126
251	1905	1119
252	1915	1112
253	1923	1105
254	1934	1100
255	1945	1094
256	1954	1087
257	1964	1081
258	1975	1075
259	1984	1068
260	1995	1062
261	2002	1054
262	2010	1047
263	2019	1040
264	2029	1033
265	2037	1026
266	2048	1020
267	2057	1013
268	2066	1006
269	2075	999
270	2084	992
271	2095	986
272	2106	980
273	2115	972
274	2127	966
275	2136	959
276	2147	953
277	2157	946
278	2167	940
279	2178	933
280	2189	927
281	2201	921
282	2211	914
283	2222	907
284	2233	901
285	2244	894
286	2252	886
287	2264	880
288	2271	872
289	2277	863
290	2283	855
291	2289	846
292	2294	838
293	2303	830
294	2309	822
295	2315	813
296	2321	805
297	2327	796
298	2333	788
299	2339	779
300	2345	771
301	2352	763
302	2358	755
303	2365	746
304	2371	738
305	2377	730
306	2382	721
307	2389	713
308	2394	705
309	2402	697
310	2410	689
311	2417	681
312	2425	674
313	2433	666
314	2440	658
315	2448	650
316	2459	643
317	2468	636
318	2479	629
319	2487	621
320	2495	614
321	2502	606
322	2510	598
323	2519	591
324	2527	583
325	2536	575
326	2547	568
327	2558	561
328	2566	553
329	2578	546
330	2591	540
331	2597	532
332	2603	523
333	2609	515
334	2615	507
335	2620	499
336	2627	491
337	2635	483
338	2640	475
339	2646	466
340	2654	459
341	2660	451
342	2667	443
343	2674	435
344	2683	427
345	2691	420
346	2698	412
347	2706	404
348	2713	396
349	2722	388
350	2729	381
351	2735	373
352	2742	365
353	2749	357
354	2755	349
355	2762	341
356	2770	333
357	2778	325
358	2785	318
359	2793	310
360	2804	303
361	2812	295
362	2821	287
363	2829	279
364	2838	272
365	2845	264
366	2854	256
367	2864	249
368	2872	241
369	2880	233
370	2887	225
371	2896	218
372	2906	210
373	2913	202
374	2922	194
375	2930	187
376	2939	179
377	2947	171
378	2954	163
379	2962	155
380	2968	148
381	2975	140
382	2981	132
383	2988	124
384	2994	116
385	2999	108
386	3005	100
387	3011	93
388	3017	85
389	3024	77
390	3029	69
391	3035	61
392	3041	54
393	3047	46
394	3055	38
395	3061	30
396	3069	23
397	3076	15
398	3082	7
399	3088	0
